NODE,ISO,NodeType,PricingType,State,County,AvgPrice,MaxPrice,MinPrice,AvgCongestion,MaxCongestion,MinCongestion
AD_LNODE12A,CAISO,NODE,Real Time,AZ,Maricopa,36.542072,21805.79929,-322.288745,1.329229,983.031145,-713.013547
AD_LNODE18A,CAISO,NODE,Real Time,AZ,Maricopa,36.602925,21835.8314,-322.63825,1.329229,983.031145,-713.013547
AD_LNODE20A,CAISO,NODE,Real Time,AZ,Maricopa,36.602925,21835.8314,-322.63825,1.329229,983.031145,-713.013547
AD_LNODE21A,CAISO,NODE,Real Time,AZ,Maricopa,36.602925,21835.8314,-322.63825,1.329229,983.031145,-713.013547
AD_LNODE22A,CAISO,NODE,Real Time,AZ,Maricopa,36.602925,21835.8314,-322.63825,1.329229,983.031145,-713.013547
AD_LNODER9A,CAISO,NODE,Real Time,AZ,Maricopa,36.542072,21805.79929,-322.288745,1.329229,983.031145,-713.013547
ADCC_2_N001,CAISO,NODE,Real Time,CA,Alameda,36.181679,21918.40448,-25.0168,-1.288883,152.05651,-243.910975
ADERAG1_7_N001,CAISO,NODE,Real Time,,,37.480285,21535.84654,-623.955725,-1.045611,1745.955707,-645.672687
ADLNTO_NDC1,CAISO,NODE,Real Time,,,36.356954,21632.40269,-113.53485,-0.528061,216.319237,-199.367315
ADLNTO_NDC2,CAISO,NODE,Real Time,,,36.356954,21632.40269,-113.53485,-0.528061,216.319237,-199.367315
ADOBE_LNODE01,CAISO,NODE,Real Time,NV,Elko,41.069595,21263.43822,-337.512407,5.655286,1015.853462,-398.580377
ADOBE_LNODE02,CAISO,NODE,Real Time,NV,Elko,41.081633,21272.0336,-337.499717,5.655286,1015.853462,-398.580377
ADOBE_LNODE03,CAISO,NODE,Real Time,NV,Elko,41.081633,21272.0336,-337.499717,5.655286,1015.853462,-398.580377
ADOBE_LNODE08,CAISO,NODE,Real Time,NV,Elko,41.069595,21263.43822,-337.512407,5.655286,1015.853462,-398.580377
ADRATAP_1_B1,CAISO,NODE,Real Time,,,37.571057,21567.94498,-623.955725,-1.045611,1745.955707,-645.672687
AEC300_1_N001,CAISO,NODE,Real Time,CA,San Joaquin,36.000593,21662.04495,-22.347312,-1.327306,131.822292,-243.53775
AERA12_7_N001,CAISO,NODE,Real Time,,,34.826179,22030.50632,-150.230537,-1.792685,104.452465,-262.300132
AFSTEAM_GNODEU1,CAISO,NODE,Real Time,,,39.441686,21488.44827,-18.141585,-0.175453,9.82528,-44.534677
AFSTEAM_GNODEU2,CAISO,NODE,Real Time,,,39.638304,21488.44827,-18.141585,-0.053506,9.82528,-24.719007
AFSTEAM_GNODEU3,CAISO,NODE,Real Time,,,39.708155,21488.44827,-18.141585,-0.00095,0,-2.213547
AFTONPNM_GNODEG,CAISO,NODE,Real Time,,,35.092063,20907.72948,-111.916345,-2.882223,14.933132,-222.763897
AFTONPNM_GNODEST,CAISO,NODE,Real Time,,,35.091422,20907.75407,-111.916345,-2.882223,14.933132,-222.763897
AG_LNODER1A,CAISO,NODE,Real Time,AZ,Maricopa,37.07081,21859.60442,-325.20492,1.519619,983.184812,-713.013547
